Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
306.0,-0.0001,0.0783,0.4567
307.0,-0.0001,0.0764,0.4495
308.0,0.0001,0.0739,0.4414
309.0,0.0000,0.0720,0.4348
310.0,0.0001,0.0700,0.4275
311.0,0.0001,0.0678,0.4205
312.0,0.0002,0.0659,0.4136
313.0,-0.0001,0.0640,0.4072
314.0,-0.0001,0.0622,0.4007
315.0,0.0001,0.0605,0.3947
316.0,0.0001,0.0586,0.3884
317.0,0.0002,0.0564,0.3821
318.0,0.0002,0.0549,0.3764
319.0,0.0001,0.0532,0.3708
320.0,-0.0002,0.0521,0.3678
321.0,0.0005,0.0589,0.3683
322.0,0.0006,0.0572,0.3627
323.0,0.0004,0.0554,0.3574
324.0,0.0002,0.0540,0.3517
325.0,0.0006,0.0525,0.3469
326.0,0.0001,0.0504,0.3409
327.0,0.0005,0.0491,0.3361
328.0,0.0003,0.0474,0.3311
329.0,0.0004,0.0458,0.3256
330.0,0.0003,0.0441,0.3205
331.0,0.0005,0.0429,0.3161
332.0,0.0002,0.0413,0.3111
333.0,0.0005,0.0402,0.3063
334.0,0.0004,0.0383,0.3012
335.0,0.0007,0.0370,0.2967
336.0,0.0005,0.0355,0.2913
337.0,0.0002,0.0340,0.2868
338.0,0.0004,0.0328,0.2823
339.0,0.0006,0.0313,0.2776
340.0,0.0007,0.0302,0.2728
341.0,0.0004,0.0287,0.2681
342.0,0.0007,0.0273,0.2639
343.0,0.0007,0.0259,0.2583
344.0,0.0007,0.0248,0.2540
345.0,0.0004,0.0235,0.2497
346.0,0.0004,0.0220,0.2450
347.0,0.0005,0.0207,0.2401
348.0,0.0007,0.0194,0.2361
349.0,0.0004,0.0183,0.2313
350.0,0.0006,0.0168,0.2268
351.0,0.0006,0.0155,0.2226
352.0,0.0008,0.0146,0.2185
353.0,0.0008,0.0134,0.2137
354.0,0.0007,0.0123,0.2102
355.0,0.0008,0.0114,0.2079
356.0,0.0010,0.0118,0.2034
357.0,0.0014,0.0104,0.1992
358.0,0.0010,0.0095,0.1957
359.0,0.0011,0.0082,0.1908
360.0,0.0013,0.0073,0.1869
361.0,0.0005,0.0064,0.1827
362.0,0.0011,0.0052,0.1787
363.0,0.0012,0.0044,0.1751
364.0,0.0010,0.0031,0.1710
365.0,0.0008,0.0022,0.1674
366.0,0.0012,0.0010,0.1632
367.0,0.0011,-0.0002,0.1596
368.0,0.0013,-0.0011,0.1563
369.0,0.0006,-0.0022,0.1526
370.0,0.0011,-0.0029,0.1494
371.0,0.0016,-0.0034,0.1460
372.0,0.0010,-0.0045,0.1424
373.0,0.0011,-0.0055,0.1387
374.0,0.0014,-0.0062,0.1356
375.0,0.0011,-0.0075,0.1321
376.0,0.0013,-0.0083,0.1287
377.0,0.0014,-0.0092,0.1260
378.0,0.0012,-0.0102,0.1225
379.0,0.0012,-0.0111,0.1192
380.0,0.0013,-0.0116,0.1162
381.0,0.0012,-0.0126,0.1129
382.0,0.0012,-0.0135,0.1103
383.0,0.0013,-0.0138,0.1078
384.0,0.0010,-0.0150,0.1046
385.0,0.0012,-0.0158,0.1018
386.0,0.0013,-0.0168,0.0987
387.0,0.0011,-0.0179,0.0957
388.0,0.0009,-0.0184,0.0932
389.0,0.0011,-0.0186,0.0909
390.0,0.0013,-0.0191,0.0889
391.0,0.0012,-0.0199,0.0861
392.0,0.0010,-0.0211,0.0831
393.0,0.0009,-0.0219,0.0807
394.0,0.0012,-0.0223,0.0786
395.0,0.0011,-0.0230,0.0760
396.0,0.0010,-0.0235,0.0740
397.0,0.0011,-0.0242,0.0717
398.0,0.0011,-0.0251,0.0694
399.0,0.0009,-0.0253,0.0682
400.0,0.0009,-0.0253,0.0682
