Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002850
Software Version:,,,"2.1,  Build 5"
Firmware Version:,,,2.0.102
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"August 14, 2024 2:45 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,200.0 nm
End Wavelength:,,,800.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,BLANK,,
2,CR,,
3,SP,,
4,BM,,
5,TR,,
6,AL,,
7,CB,,
8,TB,,

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6,Abs 7,Abs 8
263.0,-0.0002,0.0571,0.2761,0.1477,0.1806,0.4946,1.4771,4.5000
264.0,-0.0002,0.0564,0.2729,0.1459,0.1785,0.4894,1.4607,4.5000
265.0,-0.0003,0.0557,0.2694,0.1440,0.1760,0.4841,1.4449,4.5000
266.0,-0.0002,0.0550,0.2658,0.1420,0.1738,0.4786,1.4296,4.5000
267.0,-0.0003,0.0543,0.2615,0.1400,0.1709,0.4723,1.4076,4.5000
268.0,-0.0002,0.0534,0.2576,0.1375,0.1680,0.4662,1.3911,4.5000
269.0,-0.0002,0.0525,0.2536,0.1354,0.1653,0.4601,1.3732,4.5000
270.0,-0.0003,0.0518,0.2495,0.1334,0.1626,0.4536,1.3564,4.5000
271.0,-0.0001,0.0508,0.2453,0.1308,0.1595,0.4470,1.3384,4.5000
272.0,-0.0001,0.0499,0.2403,0.1281,0.1564,0.4401,1.3193,4.5000
273.0,-0.0001,0.0489,0.2360,0.1259,0.1531,0.4334,1.3004,4.5000
274.0,-0.0001,0.0478,0.2313,0.1230,0.1499,0.4260,1.2824,4.5000
275.0,0.0000,0.0468,0.2267,0.1204,0.1470,0.4197,1.2663,4.5000
276.0,0.0001,0.0458,0.2217,0.1175,0.1434,0.4118,1.2467,4.5000
277.0,0.0001,0.0448,0.2173,0.1148,0.1405,0.4049,1.2299,4.5000
278.0,0.0001,0.0436,0.2128,0.1121,0.1372,0.3982,1.2146,4.5000
279.0,0.0001,0.0424,0.2081,0.1093,0.1342,0.3913,1.1974,4.5000
280.0,0.0002,0.0411,0.2031,0.1062,0.1304,0.3832,1.1791,4.5000
281.0,0.0001,0.0401,0.1987,0.1034,0.1272,0.3766,1.1651,4.5000
282.0,0.0001,0.0392,0.1944,0.1007,0.1242,0.3694,1.1465,4.5000
283.0,0.0000,0.0379,0.1897,0.0982,0.1213,0.3619,1.1316,4.5000
284.0,-0.0001,0.0366,0.1847,0.0952,0.1176,0.3544,1.1151,4.5000
285.0,0.0000,0.0354,0.1803,0.0924,0.1146,0.3475,1.0996,4.5000
286.0,-0.0001,0.0345,0.1758,0.0897,0.1116,0.3402,1.0838,4.5000
287.0,0.0003,0.0335,0.1719,0.0874,0.1091,0.3337,1.0685,4.5000
288.0,-0.0002,0.0321,0.1670,0.0844,0.1054,0.3261,1.0533,4.5000
289.0,-0.0001,0.0312,0.1629,0.0820,0.1028,0.3195,1.0389,4.5000
290.0,-0.0003,0.0300,0.1587,0.0794,0.0998,0.3127,1.0246,4.5000
291.0,0.0000,0.0294,0.1550,0.0772,0.0975,0.3068,1.0103,4.5000
292.0,0.0000,0.0282,0.1508,0.0746,0.0946,0.2998,0.9955,4.5000
293.0,0.0001,0.0273,0.1473,0.0725,0.0920,0.2942,0.9818,4.5000
294.0,-0.0001,0.0263,0.1436,0.0700,0.0895,0.2880,0.9682,4.5000
295.0,0.0001,0.0257,0.1403,0.0683,0.0873,0.2826,0.9553,4.5000
296.0,-0.0002,0.0247,0.1367,0.0659,0.0847,0.2765,0.9401,4.5000
297.0,0.0001,0.0239,0.1336,0.0644,0.0826,0.2715,0.9276,4.5000
298.0,0.0001,0.0234,0.1306,0.0625,0.0805,0.2665,0.9148,4.5000
299.0,0.0001,0.0227,0.1276,0.0608,0.0785,0.2615,0.9029,4.5000
300.0,0.0001,0.0221,0.1244,0.0592,0.0764,0.2561,0.8881,4.5000
301.0,-0.0001,0.0213,0.1214,0.0575,0.0742,0.2511,0.8754,4.5000
302.0,-0.0001,0.0208,0.1192,0.0563,0.0727,0.2467,0.8629,4.5000
303.0,-0.0001,0.0201,0.1164,0.0548,0.0709,0.2425,0.8508,4.5000
304.0,-0.0002,0.0194,0.1136,0.0532,0.0690,0.2373,0.8378,4.5000
305.0,-0.0001,0.0191,0.1110,0.0519,0.0673,0.2331,0.8259,4.5000
306.0,-0.0001,0.0186,0.1090,0.0508,0.0659,0.2290,0.8148,4.5000
307.0,0.0000,0.0180,0.1069,0.0495,0.0646,0.2249,0.8030,4.5000
308.0,-0.0001,0.0178,0.1046,0.0485,0.0628,0.2209,0.7900,4.5000
309.0,0.0002,0.0174,0.1026,0.0476,0.0617,0.2174,0.7794,4.5000
310.0,-0.0001,0.0171,0.1004,0.0465,0.0605,0.2135,0.7681,4.5000
311.0,-0.0002,0.0165,0.0979,0.0454,0.0587,0.2092,0.7558,3.8440
312.0,-0.0001,0.0162,0.0960,0.0445,0.0577,0.2056,0.7452,3.8379
313.0,0.0002,0.0161,0.0945,0.0438,0.0569,0.2024,0.7366,3.8321
314.0,-0.0001,0.0158,0.0926,0.0428,0.0555,0.1990,0.7253,3.8264
315.0,0.0000,0.0156,0.0908,0.0419,0.0543,0.1956,0.7152,3.3436
316.0,-0.0003,0.0153,0.0889,0.0410,0.0532,0.1920,0.7051,3.3382
317.0,-0.0001,0.0149,0.0875,0.0405,0.0524,0.1887,0.6952,3.8098
318.0,-0.0001,0.0146,0.0859,0.0396,0.0514,0.1855,0.6856,3.3271
319.0,-0.0001,0.0143,0.0839,0.0386,0.0500,0.1823,0.6760,3.1962
320.0,0.0002,0.0144,0.0834,0.0389,0.0498,0.1809,0.6720,3.3181
321.0,0.0002,0.0146,0.0811,0.0379,0.0480,0.1762,0.6573,2.9349
322.0,0.0001,0.0138,0.0792,0.0369,0.0474,0.1727,0.6470,2.8795
323.0,-0.0001,0.0136,0.0776,0.0365,0.0463,0.1697,0.6382,2.7885
324.0,-0.0001,0.0133,0.0762,0.0356,0.0454,0.1666,0.6295,2.7473
325.0,-0.0002,0.0132,0.0749,0.0352,0.0444,0.1638,0.6212,2.7100
326.0,0.0000,0.0130,0.0734,0.0346,0.0437,0.1607,0.6112,2.7432
327.0,0.0001,0.0129,0.0723,0.0343,0.0429,0.1581,0.6034,2.5670
328.0,0.0002,0.0128,0.0710,0.0337,0.0424,0.1555,0.5957,2.5924
329.0,-0.0001,0.0121,0.0694,0.0328,0.0412,0.1524,0.5859,2.5450
330.0,-0.0001,0.0121,0.0679,0.0323,0.0404,0.1498,0.5777,2.5237
331.0,0.0001,0.0118,0.0667,0.0317,0.0399,0.1474,0.5708,2.4108
332.0,0.0000,0.0119,0.0653,0.0311,0.0388,0.1448,0.5622,2.3957
333.0,0.0002,0.0114,0.0641,0.0305,0.0381,0.1419,0.5532,2.3513
334.0,0.0001,0.0113,0.0630,0.0300,0.0374,0.1397,0.5458,2.3384
335.0,-0.0001,0.0114,0.0619,0.0295,0.0370,0.1374,0.5381,2.3257
336.0,0.0001,0.0110,0.0606,0.0291,0.0361,0.1345,0.5289,2.2298
337.0,0.0001,0.0109,0.0595,0.0286,0.0354,0.1323,0.5222,2.2201
338.0,0.0001,0.0108,0.0585,0.0281,0.0346,0.1300,0.5145,2.1904
339.0,0.0001,0.0105,0.0575,0.0277,0.0341,0.1279,0.5063,2.1722
340.0,-0.0001,0.0101,0.0564,0.0271,0.0333,0.1255,0.4983,2.1115
341.0,0.0002,0.0102,0.0554,0.0267,0.0329,0.1235,0.4914,2.0886
342.0,0.0002,0.0099,0.0544,0.0262,0.0323,0.1212,0.4836,2.0518
343.0,0.0002,0.0100,0.0537,0.0260,0.0317,0.1192,0.4762,2.0180
344.0,0.0000,0.0096,0.0524,0.0254,0.0307,0.1170,0.4689,1.9927
345.0,-0.0002,0.0097,0.0515,0.0252,0.0303,0.1150,0.4615,1.9462
346.0,0.0001,0.0094,0.0506,0.0248,0.0298,0.1129,0.4540,1.9300
347.0,-0.0001,0.0091,0.0494,0.0241,0.0291,0.1109,0.4470,1.8986
348.0,0.0001,0.0088,0.0488,0.0240,0.0288,0.1092,0.4404,1.8556
349.0,-0.0001,0.0090,0.0478,0.0235,0.0280,0.1074,0.4335,1.8244
350.0,-0.0003,0.0087,0.0466,0.0230,0.0273,0.1049,0.4258,1.7949
351.0,-0.0002,0.0085,0.0458,0.0227,0.0271,0.1032,0.4192,1.7744
352.0,-0.0001,0.0084,0.0454,0.0226,0.0266,0.1014,0.4123,1.7542
353.0,-0.0001,0.0080,0.0443,0.0220,0.0258,0.0997,0.4056,1.7072
354.0,-0.0001,0.0082,0.0435,0.0218,0.0256,0.0983,0.3994,1.6921
355.0,0.0001,0.0081,0.0432,0.0219,0.0255,0.0974,0.3961,1.6751
356.0,0.0007,0.0091,0.0440,0.0233,0.0278,0.0979,0.3905,1.6663
357.0,0.0003,0.0090,0.0434,0.0230,0.0269,0.0960,0.3841,1.6290
358.0,0.0003,0.0085,0.0422,0.0221,0.0263,0.0943,0.3771,1.6151
359.0,0.0002,0.0085,0.0413,0.0220,0.0260,0.0922,0.3705,1.5659
360.0,0.0006,0.0088,0.0409,0.0218,0.0257,0.0912,0.3652,1.5563
361.0,0.0005,0.0087,0.0400,0.0216,0.0251,0.0894,0.3589,1.5100
362.0,0.0006,0.0084,0.0391,0.0210,0.0246,0.0877,0.3526,1.4932
363.0,0.0006,0.0084,0.0387,0.0211,0.0243,0.0864,0.3460,1.4650
364.0,0.0004,0.0082,0.0380,0.0205,0.0241,0.0851,0.3403,1.4403
365.0,0.0001,0.0080,0.0370,0.0201,0.0232,0.0829,0.3343,1.4184
366.0,0.0003,0.0080,0.0364,0.0197,0.0228,0.0813,0.3286,1.3890
367.0,0.0001,0.0075,0.0355,0.0198,0.0224,0.0797,0.3236,1.3673
368.0,0.0000,0.0075,0.0349,0.0192,0.0220,0.0784,0.3181,1.3434
369.0,0.0004,0.0078,0.0344,0.0193,0.0218,0.0775,0.3123,1.3240
370.0,0.0004,0.0076,0.0339,0.0190,0.0216,0.0759,0.3069,1.2988
371.0,0.0005,0.0077,0.0334,0.0185,0.0211,0.0748,0.3015,1.2740
372.0,0.0002,0.0074,0.0326,0.0187,0.0206,0.0733,0.2966,1.2491
373.0,0.0005,0.0075,0.0321,0.0185,0.0208,0.0718,0.2913,1.2278
374.0,0.0006,0.0075,0.0317,0.0184,0.0203,0.0709,0.2866,1.2067
375.0,0.0007,0.0073,0.0311,0.0182,0.0202,0.0692,0.2814,1.1858
376.0,0.0003,0.0072,0.0304,0.0176,0.0193,0.0678,0.2762,1.1640
377.0,0.0002,0.0069,0.0298,0.0175,0.0191,0.0667,0.2719,1.1444
378.0,0.0003,0.0069,0.0290,0.0172,0.0187,0.0655,0.2673,1.1217
379.0,0.0003,0.0068,0.0285,0.0167,0.0183,0.0641,0.2625,1.1053
380.0,0.0006,0.0067,0.0280,0.0168,0.0181,0.0630,0.2581,1.0841
381.0,0.0002,0.0065,0.0275,0.0166,0.0178,0.0617,0.2534,1.0641
382.0,0.0003,0.0063,0.0268,0.0161,0.0175,0.0604,0.2489,1.0450
383.0,0.0005,0.0063,0.0266,0.0159,0.0173,0.0595,0.2452,1.0289
384.0,0.0004,0.0064,0.0261,0.0162,0.0173,0.0586,0.2408,1.0113
385.0,0.0005,0.0063,0.0256,0.0158,0.0171,0.0574,0.2365,0.9931
386.0,0.0006,0.0063,0.0251,0.0157,0.0163,0.0564,0.2331,0.9769
387.0,0.0002,0.0060,0.0243,0.0149,0.0158,0.0549,0.2280,0.9596
388.0,0.0002,0.0060,0.0238,0.0148,0.0157,0.0540,0.2246,0.9429
389.0,0.0002,0.0057,0.0234,0.0146,0.0154,0.0530,0.2206,0.9266
390.0,0.0003,0.0058,0.0230,0.0146,0.0153,0.0521,0.2173,0.9094
391.0,-0.0001,0.0054,0.0223,0.0143,0.0147,0.0508,0.2133,0.8944
392.0,0.0001,0.0055,0.0219,0.0140,0.0146,0.0498,0.2096,0.8779
393.0,0.0000,0.0053,0.0216,0.0139,0.0141,0.0487,0.2062,0.8648
394.0,0.0001,0.0053,0.0212,0.0138,0.0140,0.0479,0.2029,0.8508
395.0,0.0001,0.0054,0.0209,0.0137,0.0139,0.0473,0.1994,0.8349
396.0,0.0001,0.0052,0.0204,0.0136,0.0139,0.0464,0.1964,0.8223
397.0,-0.0001,0.0048,0.0198,0.0132,0.0132,0.0454,0.1929,0.8085
398.0,0.0003,0.0053,0.0197,0.0133,0.0131,0.0446,0.1900,0.7945
399.0,0.0001,0.0051,0.0193,0.0130,0.0129,0.0436,0.1868,0.7823
400.0,0.0001,0.0048,0.0189,0.0129,0.0128,0.0430,0.1842,0.7702
401.0,0.0003,0.0050,0.0188,0.0128,0.0128,0.0422,0.1812,0.7557
402.0,0.0003,0.0052,0.0186,0.0129,0.0127,0.0417,0.1786,0.7449
403.0,0.0004,0.0051,0.0184,0.0130,0.0127,0.0409,0.1756,0.7317
404.0,0.0004,0.0052,0.0180,0.0127,0.0125,0.0403,0.1729,0.7201
405.0,0.0003,0.0050,0.0176,0.0127,0.0122,0.0396,0.1704,0.7090
406.0,0.0004,0.0050,0.0173,0.0125,0.0120,0.0387,0.1677,0.6977
407.0,0.0005,0.0051,0.0170,0.0126,0.0122,0.0383,0.1653,0.6870
408.0,0.0003,0.0051,0.0167,0.0123,0.0118,0.0375,0.1627,0.6757
409.0,0.0002,0.0047,0.0163,0.0119,0.0115,0.0365,0.1601,0.6649
410.0,0.0004,0.0049,0.0160,0.0120,0.0115,0.0361,0.1578,0.6546
411.0,0.0003,0.0048,0.0158,0.0119,0.0112,0.0353,0.1557,0.6451
412.0,0.0001,0.0047,0.0152,0.0116,0.0108,0.0345,0.1531,0.6345
413.0,0.0002,0.0045,0.0151,0.0114,0.0107,0.0339,0.1511,0.6257
414.0,0.0001,0.0044,0.0149,0.0112,0.0104,0.0335,0.1496,0.6196
415.0,-0.0001,0.0036,0.0121,0.0082,0.0066,0.0279,0.1415,0.6004
416.0,0.0000,0.0034,0.0118,0.0081,0.0064,0.0274,0.1394,0.5907
417.0,-0.0001,0.0033,0.0115,0.0079,0.0061,0.0266,0.1374,0.5819
418.0,0.0000,0.0033,0.0114,0.0078,0.0061,0.0262,0.1353,0.5735
419.0,0.0000,0.0033,0.0110,0.0079,0.0060,0.0257,0.1333,0.5641
420.0,-0.0001,0.0031,0.0108,0.0076,0.0058,0.0251,0.1313,0.5563
421.0,-0.0001,0.0033,0.0106,0.0075,0.0057,0.0246,0.1295,0.5482
422.0,-0.0001,0.0032,0.0103,0.0074,0.0055,0.0239,0.1275,0.5396
423.0,-0.0002,0.0030,0.0100,0.0072,0.0053,0.0235,0.1258,0.5318
424.0,-0.0002,0.0029,0.0098,0.0071,0.0052,0.0229,0.1242,0.5246
425.0,-0.0002,0.0030,0.0098,0.0071,0.0052,0.0225,0.1223,0.5161
426.0,-0.0002,0.0030,0.0095,0.0070,0.0051,0.0220,0.1208,0.5091
427.0,-0.0001,0.0029,0.0094,0.0070,0.0048,0.0216,0.1190,0.5013
428.0,-0.0002,0.0028,0.0092,0.0068,0.0048,0.0211,0.1174,0.4946
429.0,-0.0001,0.0030,0.0090,0.0068,0.0048,0.0208,0.1160,0.4877
430.0,-0.0001,0.0029,0.0088,0.0067,0.0047,0.0203,0.1144,0.4804
431.0,0.0000,0.0029,0.0087,0.0068,0.0046,0.0199,0.1129,0.4737
432.0,0.0000,0.0027,0.0085,0.0067,0.0046,0.0194,0.1113,0.4667
433.0,-0.0002,0.0027,0.0082,0.0065,0.0044,0.0191,0.1099,0.4604
434.0,-0.0001,0.0027,0.0081,0.0064,0.0043,0.0186,0.1084,0.4543
435.0,-0.0001,0.0027,0.0080,0.0064,0.0043,0.0182,0.1069,0.4474
436.0,-0.0001,0.0026,0.0077,0.0062,0.0041,0.0178,0.1057,0.4418
437.0,-0.0001,0.0025,0.0075,0.0062,0.0040,0.0173,0.1042,0.4350
438.0,-0.0001,0.0025,0.0073,0.0061,0.0039,0.0171,0.1029,0.4292
439.0,-0.0002,0.0024,0.0072,0.0060,0.0038,0.0167,0.1017,0.4240
440.0,-0.0002,0.0024,0.0070,0.0058,0.0037,0.0163,0.1003,0.4179
441.0,-0.0002,0.0024,0.0069,0.0058,0.0036,0.0160,0.0991,0.4123
442.0,-0.0003,0.0023,0.0067,0.0057,0.0035,0.0156,0.0978,0.4066
443.0,-0.0002,0.0023,0.0066,0.0056,0.0034,0.0153,0.0966,0.4015
444.0,-0.0002,0.0022,0.0063,0.0055,0.0034,0.0149,0.0953,0.3957
445.0,-0.0003,0.0022,0.0063,0.0055,0.0033,0.0146,0.0942,0.3907
446.0,-0.0003,0.0021,0.0061,0.0053,0.0032,0.0142,0.0931,0.3857
447.0,-0.0003,0.0021,0.0060,0.0053,0.0031,0.0140,0.0919,0.3803
448.0,-0.0002,0.0021,0.0059,0.0053,0.0031,0.0138,0.0909,0.3760
449.0,-0.0003,0.0020,0.0057,0.0052,0.0029,0.0134,0.0897,0.3707
450.0,-0.0003,0.0020,0.0055,0.0051,0.0029,0.0131,0.0887,0.3661
451.0,-0.0004,0.0020,0.0054,0.0050,0.0027,0.0128,0.0876,0.3616
452.0,-0.0003,0.0020,0.0053,0.0049,0.0027,0.0126,0.0866,0.3569
453.0,-0.0003,0.0019,0.0053,0.0049,0.0027,0.0123,0.0856,0.3525
454.0,-0.0004,0.0019,0.0052,0.0049,0.0025,0.0120,0.0846,0.3477
455.0,-0.0002,0.0020,0.0051,0.0048,0.0026,0.0119,0.0838,0.3438
456.0,-0.0003,0.0018,0.0049,0.0048,0.0025,0.0115,0.0828,0.3393
457.0,-0.0003,0.0018,0.0048,0.0046,0.0024,0.0113,0.0819,0.3351
458.0,-0.0004,0.0018,0.0047,0.0046,0.0024,0.0111,0.0809,0.3308
459.0,-0.0003,0.0018,0.0046,0.0047,0.0024,0.0109,0.0800,0.3270
460.0,-0.0004,0.0018,0.0045,0.0046,0.0023,0.0106,0.0792,0.3233
461.0,-0.0004,0.0017,0.0044,0.0046,0.0022,0.0105,0.0783,0.3192
462.0,-0.0003,0.0018,0.0044,0.0046,0.0023,0.0103,0.0776,0.3154
463.0,-0.0003,0.0018,0.0042,0.0046,0.0022,0.0100,0.0766,0.3117
464.0,-0.0003,0.0017,0.0041,0.0045,0.0021,0.0099,0.0759,0.3081
465.0,-0.0002,0.0018,0.0041,0.0046,0.0022,0.0098,0.0752,0.3044
466.0,-0.0002,0.0018,0.0040,0.0045,0.0021,0.0096,0.0744,0.3010
467.0,-0.0002,0.0018,0.0040,0.0045,0.0021,0.0094,0.0738,0.2978
468.0,-0.0002,0.0017,0.0039,0.0045,0.0020,0.0093,0.0729,0.2940
469.0,-0.0002,0.0017,0.0038,0.0044,0.0020,0.0090,0.0721,0.2908
470.0,-0.0003,0.0016,0.0037,0.0043,0.0019,0.0088,0.0715,0.2873
471.0,-0.0002,0.0016,0.0036,0.0043,0.0019,0.0087,0.0708,0.2841
472.0,-0.0002,0.0017,0.0036,0.0043,0.0019,0.0086,0.0700,0.2809
473.0,-0.0003,0.0016,0.0035,0.0042,0.0018,0.0084,0.0694,0.2779
474.0,-0.0003,0.0015,0.0034,0.0042,0.0017,0.0082,0.0686,0.2746
475.0,-0.0003,0.0015,0.0033,0.0042,0.0017,0.0080,0.0679,0.2716
476.0,-0.0002,0.0016,0.0033,0.0041,0.0017,0.0079,0.0673,0.2686
477.0,-0.0003,0.0015,0.0033,0.0041,0.0017,0.0077,0.0667,0.2657
478.0,-0.0004,0.0015,0.0031,0.0040,0.0015,0.0075,0.0659,0.2626
479.0,-0.0003,0.0015,0.0031,0.0039,0.0016,0.0074,0.0654,0.2600
480.0,-0.0003,0.0015,0.0031,0.0040,0.0016,0.0073,0.0648,0.2573
481.0,-0.0003,0.0015,0.0030,0.0040,0.0015,0.0071,0.0641,0.2543
482.0,-0.0003,0.0014,0.0029,0.0039,0.0015,0.0070,0.0636,0.2518
483.0,-0.0003,0.0015,0.0029,0.0039,0.0015,0.0068,0.0630,0.2490
484.0,-0.0003,0.0014,0.0028,0.0038,0.0014,0.0067,0.0624,0.2464
485.0,-0.0003,0.0014,0.0028,0.0038,0.0014,0.0065,0.0619,0.2437
486.0,-0.0003,0.0014,0.0027,0.0037,0.0013,0.0063,0.0613,0.2413
487.0,-0.0003,0.0014,0.0026,0.0037,0.0013,0.0062,0.0607,0.2385
488.0,-0.0004,0.0014,0.0026,0.0037,0.0013,0.0062,0.0603,0.2364
489.0,-0.0004,0.0013,0.0024,0.0037,0.0013,0.0060,0.0596,0.2338
490.0,-0.0004,0.0014,0.0025,0.0037,0.0013,0.0059,0.0592,0.2315
491.0,-0.0004,0.0014,0.0024,0.0037,0.0013,0.0058,0.0587,0.2290
492.0,-0.0004,0.0013,0.0024,0.0036,0.0012,0.0057,0.0582,0.2268
